x,y,exact solution,numerical approximation,absolute error
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.0,0.0
0.25,0.25,6.25,6.249999999999023,9.769962616701378e-13
0.5,0.25,12.5,12.499999999999023,9.769962616701378e-13
0.75,0.25,18.75,18.74999999999951,4.902744876744691e-13
1.0,0.25,25.0,25.0,0.0
0.0,0.5,0.0,0.0,0.0
0.25,0.5,12.5,12.499999999999023,9.769962616701378e-13
0.5,0.5,25.0,24.99999999999902,9.805489753489383e-13
0.75,0.5,37.5,37.49999999999951,4.902744876744691e-13
1.0,0.5,50.0,50.0,0.0
0.0,0.75,0.0,0.0,0.0
0.25,0.75,18.75,18.74999999999951,4.902744876744691e-13
0.5,0.75,37.5,37.49999999999951,4.902744876744691e-13
0.75,0.75,56.25,56.24999999999976,2.4158453015843406e-13
1.0,0.75,75.0,75.0,0.0
0.0,1.0,0.0,0.0,0.0
0.25,1.0,25.0,25.0,0.0
0.5,1.0,50.0,50.0,0.0
0.75,1.0,75.0,75.0,0.0
1.0,1.0,100.0,100.0,0.0
