problem,method,h,mesh intervals,interior points,iterations,converged,max update,max residual,max error,mean error
Problem A,Gauss-Seidel,0.0625,16,225,729,True,9.841016890277388e-13,1.971756091734278e-12,2.4908075602070312e-11,8.925722137561279e-12
Problem A,Gauss-Seidel,0.125,8,49,189,True,9.592326932761353e-13,1.91491267287347e-12,5.581313189395587e-12,1.7730618071148197e-12
Problem A,Gauss-Seidel,0.25,4,9,46,True,9.769962616701378e-13,1.9539925233402755e-12,9.805489753489383e-13,2.445688096486265e-13
