h,iterations,max update,max residual,max error
0.0625,729,9.841016890277388e-13,1.971756091734278e-12,2.4908075602070312e-11
0.125,189,9.592326932761353e-13,1.91491267287347e-12,5.581313189395587e-12
0.25,46,9.769962616701378e-13,1.9539925233402755e-12,9.805489753489383e-13
