x,y,exact solution,numerical approximation,absolute error
0.0,0.0,0.0,0.0,0.0
0.0625,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.1875,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.3125,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.4375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5625,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.6875,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.8125,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
0.9375,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0625,0.0,0.0,0.0
0.0625,0.0625,0.390625,0.3906249999987561,1.2438938767900254e-12
0.125,0.0625,0.78125,0.781249999997607,2.3929747072770624e-12
0.1875,0.0625,1.171875,1.1718749999965925,3.4074965071795305e-12
0.25,0.0625,1.5625,1.5624999999957465,4.2534864519439e-12
0.3125,0.0625,1.953125,1.9531249999950946,4.905409412003792e-12
0.375,0.0625,2.34375,2.343749999994654,5.345945908175054e-12
0.4375,0.0625,2.734375,2.734374999994434,5.566214156260685e-12
0.5,0.0625,3.125,3.124999999994434,5.566214156260685e-12
0.5625,0.0625,3.515625,3.515624999994646,5.353939513952355e-12
0.625,0.0625,3.90625,3.9062499999950537,4.9462656193099974e-12
0.6875,0.0625,4.296875,4.296874999995634,4.366285111245816e-12
0.75,0.0625,4.6875,4.6874999999963585,3.6415315207705135e-12
0.8125,0.0625,5.078125,5.078124999997194,2.8057556278326956e-12
0.875,0.0625,5.46875,5.468749999998105,1.8953727476400672e-12
0.9375,0.0625,5.859375,5.859374999999052,9.476863738200336e-13
1.0,0.0625,6.25,6.25,0.0
0.0,0.125,0.0,0.0,0.0
0.0625,0.125,0.78125,0.781249999997607,2.3929747072770624e-12
0.125,0.125,1.5625,1.5624999999953961,4.603872838515599e-12
0.1875,0.125,2.34375,2.3437499999934444,6.555644915806624e-12
0.25,0.125,3.125,3.1249999999918168,8.183231869907104e-12
0.3125,0.125,3.90625,3.906249999990562,9.43778388773353e-12
0.375,0.125,4.6875,4.687499999989715,1.028510610012745e-11
0.4375,0.125,5.46875,5.468749999989292,1.070787902790471e-11
0.5,0.125,6.25,6.249999999989292,1.070787902790471e-11
0.5625,0.125,7.03125,7.031249999989699,1.0301093311682052e-11
0.625,0.125,7.8125,7.812499999990483,9.516831767086842e-12
0.6875,0.125,8.59375,8.5937499999916,8.400391493523784e-12
0.75,0.125,9.375,9.374999999992994,7.005951374594588e-12
0.8125,0.125,10.15625,10.156249999994602,5.398348434937361e-12
0.875,0.125,10.9375,10.937499999996353,3.646860591288714e-12
0.9375,0.125,11.71875,11.718749999998177,1.822542117224657e-12
1.0,0.125,12.5,12.5,0.0
0.0,0.1875,0.0,0.0,0.0
0.0625,0.1875,1.171875,1.1718749999965927,3.4072744625746054e-12
0.125,0.1875,2.34375,2.343749999993445,6.555200826596774e-12
0.1875,0.1875,3.515625,3.5156249999906657,9.334311101838466e-12
0.25,0.1875,4.6875,4.687499999988348,1.1652012688045943e-11
0.3125,0.1875,5.859375,5.859374999986562,1.3438139490062895e-11
0.375,0.1875,7.03125,7.031249999985356,1.4644285784015665e-11
0.4375,0.1875,8.203125,8.203124999984752,1.524824710941175e-11
0.5,0.1875,9.375,9.374999999984752,1.524824710941175e-11
0.5625,0.1875,10.546875,10.546874999985333,1.4667378422927868e-11
0.625,0.1875,11.71875,11.71874999998645,1.355004997094511e-11
0.6875,0.1875,12.890625,12.890624999988038,1.1961986956521287e-11
0.75,0.1875,14.0625,14.062499999990024,9.976020010071807e-12
0.8125,0.1875,15.234375,15.234374999992312,7.688072400924284e-12
0.875,0.1875,16.40625,16.406249999994806,5.194067398406332e-12
0.9375,0.1875,17.578125,17.578124999997403,2.597033699203166e-12
1.0,0.1875,18.75,18.75,0.0
0.0,0.25,0.0,0.0,0.0
0.0625,0.25,1.5625,1.5624999999957465,4.2534864519439e-12
0.125,0.25,3.125,3.1249999999918168,8.183231869907104e-12
0.1875,0.25,4.6875,4.687499999988348,1.1652012688045943e-11
0.25,0.25,6.25,6.249999999985455,1.454480980100925e-11
