x,y,exact solution,numerical approximation,absolute error
0.3125,0.25,7.8125,7.812499999983225,1.6775025812876265e-11
0.375,0.25,9.375,9.37499999998172,1.8280488234267978e-11
0.4375,0.25,10.9375,10.937499999980965,1.9035439891013084e-11
0.5,0.25,12.5,12.499999999980965,1.9035439891013084e-11
0.5625,0.25,14.0625,14.06249999998169,1.8310686300537782e-11
0.625,0.25,15.625,15.624999999983086,1.6914469824769185e-11
0.6875,0.25,17.1875,17.18749999998507,1.4928502878319705e-11
0.75,0.25,18.75,18.749999999987548,1.2452261444195756e-11
0.8125,0.25,20.3125,20.312499999990404,9.595879646440153e-12
0.875,0.25,21.875,21.87499999999352,6.480149750132114e-12
0.9375,0.25,23.4375,23.43749999999676,3.240074875066057e-12
1.0,0.25,25.0,25.0,0.0
0.0,0.3125,0.0,0.0,0.0
0.0625,0.3125,1.953125,1.9531249999950946,4.905409412003792e-12
0.125,0.3125,3.90625,3.906249999990562,9.43778388773353e-12
0.1875,0.3125,5.859375,5.859374999986562,1.3438139490062895e-11
0.25,0.3125,7.8125,7.812499999983224,1.6775913991295965e-11
0.3125,0.3125,9.765625,9.765624999980654,1.9346302337908128e-11
0.375,0.3125,11.71875,11.718749999978918,2.1081802970002173e-11
0.4375,0.3125,13.671875,13.671874999978048,2.1952217821308295e-11
0.5,0.3125,15.625,15.624999999978048,2.1952217821308295e-11
0.5625,0.3125,17.578125,17.578124999978883,2.1117330106790178e-11
0.625,0.3125,19.53125,19.53124999998049,1.951150352397235e-11
0.6875,0.3125,21.484375,21.48437499998278,1.7220003201146028e-11
0.75,0.3125,23.4375,23.43749999998564,1.4360068689711625e-11
0.8125,0.3125,25.390625,25.390624999988933,1.106670310946356e-11
0.875,0.3125,27.34375,27.343749999992525,7.474909580196254e-12
0.9375,0.3125,29.296875,29.296874999996263,3.737454790098127e-12
1.0,0.3125,31.25,31.25,0.0
0.0,0.375,0.0,0.0,0.0
0.0625,0.375,2.34375,2.343749999994654,5.345945908175054e-12
0.125,0.375,4.6875,4.687499999989715,1.028510610012745e-11
0.1875,0.375,7.03125,7.031249999985355,1.4645173962435365e-11
0.25,0.375,9.375,9.374999999981718,1.8282264591107378e-11
0.3125,0.375,11.71875,11.718749999978916,2.1083579326841573e-11
0.375,0.375,14.0625,14.062499999977025,2.297539936080284e-11
0.4375,0.375,16.40625,16.406249999976076,2.3923973913042573e-11
0.5,0.375,18.75,18.749999999976076,2.3923973913042573e-11
0.5625,0.375,21.09375,21.093749999976986,2.3014479211269645e-11
0.625,0.375,23.4375,23.437499999978733,2.12665440812998e-11
0.6875,0.375,25.78125,25.781249999981235,1.8765433651424246e-11
0.75,0.375,28.125,28.124999999984347,1.5653256468795007e-11
0.8125,0.375,30.46875,30.468749999987942,1.20579102258489e-11
0.875,0.375,32.8125,32.81249999999186,8.142819751810748e-12
0.9375,0.375,35.15625,35.15624999999593,4.071409875905374e-12
1.0,0.375,37.5,37.5,0.0
0.0,0.4375,0.0,0.0,0.0
0.0625,0.4375,2.734375,2.734374999994434,5.566214156260685e-12
0.125,0.4375,5.46875,5.46874999998929,1.070965538474411e-11
0.1875,0.4375,8.203125,8.203124999984752,1.524824710941175e-11
0.25,0.4375,10.9375,10.937499999980965,1.9035439891013084e-11
0.3125,0.4375,13.671875,13.671874999978048,2.1952217821308295e-11
0.375,0.4375,16.40625,16.406249999976076,2.3923973913042573e-11
0.4375,0.4375,19.140625,19.140624999975092,2.4908075602070312e-11
0.5,0.4375,21.875,21.874999999975092,2.4908075602070312e-11
0.5625,0.4375,24.609375,24.609374999976037,2.396305376350938e-11
0.625,0.4375,27.34375,27.343749999977863,2.213695893260592e-11
0.6875,0.4375,30.078125,30.07812499998046,1.9539925233402755e-11
0.75,0.4375,32.8125,32.8124999999837,1.6299850358336698e-11
0.8125,0.4375,35.546875,35.54687499998744,1.2562395568238571e-11
0.875,0.4375,38.28125,38.281249999991516,8.483880264975596e-12
0.9375,0.4375,41.015625,41.01562499999576,4.241940132487798e-12
1.0,0.4375,43.75,43.75,0.0
0.0,0.5,0.0,0.0,0.0
0.0625,0.5,3.125,3.124999999994434,5.566214156260685e-12
0.125,0.5,6.25,6.24999999998929,1.070965538474411e-11
0.1875,0.5,9.375,9.374999999984752,1.524824710941175e-11
0.25,0.5,12.5,12.499999999980965,1.9035439891013084e-11
0.3125,0.5,15.625,15.624999999978048,2.1952217821308295e-11
0.375,0.5,18.75,18.749999999976076,2.3923973913042573e-11
0.4375,0.5,21.875,21.874999999975092,2.4908075602070312e-11
0.5,0.5,25.0,24.999999999975092,2.4908075602070312e-11
0.5625,0.5,28.125,28.12499999997604,2.3959501049830578e-11
0.625,0.5,31.25,31.249999999977863,2.213695893260592e-11
0.6875,0.5,34.375,34.37499999998046,1.9539925233402755e-11
0.75,0.5,37.5,37.4999999999837,1.6299850358336698e-11
0.8125,0.5,40.625,40.62499999998744,1.2562395568238571e-11
0.875,0.5,43.75,43.749999999991516,8.483880264975596e-12
0.9375,0.5,46.875,46.87499999999575,4.249045559845399e-12
1.0,0.5,50.0,50.0,0.0
0.0,0.5625,0.0,0.0,0.0
0.0625,0.5625,3.515625,3.5156249999946456,5.354383603162205e-12
0.125,0.5625,7.03125,7.031249999989698,1.0301981490101753e-11
0.1875,0.5625,10.546875,10.54687499998533,1.4669154779767268e-11
0.25,0.5625,14.0625,14.06249999998169,1.8310686300537782e-11
0.3125,0.5625,17.578125,17.578124999978883,2.1117330106790178e-11
0.375,0.5625,21.09375,21.093749999976986,2.3014479211269645e-11
0.4375,0.5625,24.609375,24.60937499997604,2.3959501049830578e-11
0.5,0.5625,28.125,28.12499999997604,2.3959501049830578e-11
0.5625,0.5625,31.640625,31.64062499997695,2.305000634805765e-11
0.625,0.5625,35.15625,35.156249999978705,2.1294965790730203e-11
0.6875,0.5625,38.671875,38.6718749999812,1.880096078821225e-11
0.75,0.5625,42.1875,42.18749999998432,1.568167817822541e-11
0.8125,0.5625,45.703125,45.70312499998792,1.2079226507921703e-11
0.875,0.5625,49.21875,49.218749999991836,8.164136033883551e-12
0.9375,0.5625,52.734375,52.73437499999592,4.078515303262975e-12
1.0,0.5625,56.25,56.25,0.0
0.0,0.625,0.0,0.0,0.0
0.0625,0.625,3.90625,3.906249999995053,4.9471537977296975e-12
0.125,0.625,7.8125,7.812499999990482,9.517719945506542e-12
0.1875,0.625,11.71875,11.71874999998645,1.355004997094511e-11
0.25,0.625,15.625,15.624999999983086,1.6914469824769185e-11
0.3125,0.625,19.53125,19.531249999980492,1.950795081029355e-11
0.375,0.625,23.4375,23.437499999978737,2.1262991367620998e-11
0.4375,0.625,27.34375,27.343749999977863,2.213695893260592e-11
0.5,0.625,31.25,31.249999999977863,2.213695893260592e-11
0.5625,0.625,35.15625,35.156249999978705,2.1294965790730203e-11
0.625,0.625,39.0625,39.062499999980325,1.9674928353197174e-11
0.6875,0.625,42.96875,42.968749999982634,1.736566446197685e-11
0.75,0.625,46.875,46.87499999998551,1.4487966382148443e-11
0.8125,0.625,50.78125,50.78124999998883,1.1169731806148775e-11
0.875,0.625,54.6875,54.687499999992454,7.545963853772264e-12
0.9375,0.625,58.59375,58.59374999999623,3.772981926886132e-12
1.0,0.625,62.5,62.5,0.0
0.0,0.6875,0.0,0.0,0.0
0.0625,0.6875,4.296875,4.296874999995633,4.367173289665516e-12
0.125,0.6875,8.59375,8.5937499999916,8.400391493523784e-12
0.1875,0.6875,12.890625,12.890624999988038,1.1961986956521287e-11
0.25,0.6875,17.1875,17.18749999998507,1.4928502878319705e-11
0.3125,0.6875,21.484375,21.484374999982784,1.7216450487467228e-11
0.375,0.6875,25.78125,25.781249999981235,1.8765433651424246e-11
0.4375,0.6875,30.078125,30.078124999980464,1.9536372519723955e-11
0.5,0.6875,34.375,34.37499999998046,1.9539925233402755e-11
0.5625,0.6875,38.671875,38.6718749999812,1.880096078821225e-11
0.625,0.6875,42.96875,42.968749999982634,1.736566446197685e-11
0.6875,0.6875,47.265625,47.26562499998467,1.5333512237702962e-11
0.75,0.6875,51.5625,51.56249999998721,1.2789769243681803e-11
0.8125,0.6875,55.859375,55.859374999990145,9.85522774499259e-12
0.875,0.6875,60.15625,60.15624999999334,6.657785434072139e-12
0.9375,0.6875,64.453125,64.45312499999667,3.325340003357269e-12
1.0,0.6875,68.75,68.75,0.0
0.0,0.75,0.0,0.0,0.0
0.0625,0.75,4.6875,4.687499999996358,3.6424196991902136e-12
0.125,0.75,9.375,9.374999999992994,7.005951374594588e-12
0.1875,0.75,14.0625,14.062499999990022,9.977796366911207e-12
0.25,0.75,18.75,18.749999999987548,1.2452261444195756e-11
0.3125,0.75,23.4375,23.43749999998564,1.4360068689711625e-11
0.375,0.75,28.125,28.12499999998435,1.5649703755116207e-11
0.4375,0.75,32.8125,32.81249999998371,1.6292744930979097e-11
0.5,0.75,37.5,37.4999999999837,1.6299850358336698e-11
0.5625,0.75,42.1875,42.18749999998432,1.568167817822541e-11
0.625,0.75,46.875,46.87499999998551,1.4487966382148443e-11
0.6875,0.75,51.5625,51.56249999998721,1.2789769243681803e-11
0.75,0.75,56.25,56.24999999998933,1.0672351891116705e-11
0.8125,0.75,60.9375,60.93749999999178,8.220979452744359e-12
0.875,0.75,65.625,65.62499999999444,5.5564441936439835e-12
0.9375,0.75,70.3125,70.31249999999721,2.7853275241795927e-12
1.0,0.75,75.0,75.0,0.0
0.0,0.8125,0.0,0.0,0.0
0.0625,0.8125,5.078125,5.078124999997193,2.8066438062523957e-12
0.125,0.8125,10.15625,10.1562499999946,5.4001247917767614e-12
0.1875,0.8125,15.234375,15.234374999992312,7.688072400924284e-12
0.25,0.8125,20.3125,20.312499999990404,9.595879646440153e-12
0.3125,0.8125,25.390625,25.390624999988933,1.106670310946356e-11
0.375,0.8125,30.46875,30.468749999987942,1.20579102258489e-11
0.4375,0.8125,35.546875,35.54687499998744,1.2562395568238571e-11
0.5,0.8125,40.625,40.62499999998744,1.2562395568238571e-11
0.5625,0.8125,45.703125,45.70312499998792,1.2079226507921703e-11
0.625,0.8125,50.78125,50.78124999998884,1.1162626378791174e-11
0.6875,0.8125,55.859375,55.85937499999014,9.86233317235019e-12
0.75,0.8125,60.9375,60.93749999999177,8.22808488010196e-12
0.8125,0.8125,66.015625,66.01562499999366,6.338041202980094e-12
0.875,0.8125,71.09375,71.09374999999572,4.277467269275803e-12
0.9375,0.8125,76.171875,76.17187499999787,2.1316282072803006e-12
1.0,0.8125,81.25,81.25,0.0
0.0,0.875,0.0,0.0,0.0
0.0625,0.875,5.46875,5.468749999998103,1.8971491044794675e-12
0.125,0.875,10.9375,10.937499999996351,3.6486369481281145e-12
0.1875,0.875,16.40625,16.406249999994806,5.194067398406332e-12
0.25,0.875,21.875,21.874999999993516,6.483702463810914e-12
0.3125,0.875,27.34375,27.343749999992525,7.474909580196254e-12
0.375,0.875,32.8125,32.81249999999185,8.149925179168349e-12
0.4375,0.875,38.28125,38.281249999991516,8.483880264975596e-12
0.5,0.875,43.75,43.749999999991516,8.483880264975596e-12
0.5625,0.875,49.21875,49.21874999999183,8.171241461241152e-12
0.625,0.875,54.6875,54.687499999992454,7.545963853772264e-12
0.6875,0.875,60.15625,60.156249999993335,6.66489086142974e-12
0.75,0.875,65.625,65.62499999999443,5.5706550483591855e-12
0.8125,0.875,71.09375,71.09374999999571,4.291678123991005e-12
0.875,0.875,76.5625,76.5624999999971,2.8990143619012088e-12
0.9375,0.875,82.03125,82.03124999999855,1.4495071809506044e-12
1.0,0.875,87.5,87.5,0.0
0.0,0.9375,0.0,0.0,0.0
0.0625,0.9375,5.859375,5.859374999999051,9.485745522397337e-13
0.125,0.9375,11.71875,11.718749999998176,1.8243184740640572e-12
0.1875,0.9375,17.578125,17.578124999997403,2.597033699203166e-12
0.25,0.9375,23.4375,23.43749999999676,3.240074875066057e-12
0.3125,0.9375,29.296875,29.296874999996263,3.737454790098127e-12
0.375,0.9375,35.15625,35.15624999999592,4.078515303262975e-12
0.4375,0.9375,41.015625,41.01562499999575,4.249045559845399e-12
0.5,0.9375,46.875,46.87499999999575,4.249045559845399e-12
0.5625,0.9375,52.734375,52.734374999995914,4.085620730620576e-12
0.625,0.9375,58.59375,58.59374999999622,3.780087354243733e-12
0.6875,0.9375,64.453125,64.45312499999666,3.339550858072471e-12
0.75,0.9375,70.3125,70.31249999999721,2.7853275241795927e-12
0.8125,0.9375,76.171875,76.17187499999785,2.1458390619955026e-12
0.875,0.9375,82.03125,82.03124999999855,1.4495071809506044e-12
0.9375,0.9375,87.890625,87.89062499999928,7.247535904753022e-13
1.0,0.9375,93.75,93.75,0.0
0.0,1.0,0.0,0.0,0.0
0.0625,1.0,6.25,6.25,0.0
0.125,1.0,12.5,12.5,0.0
0.1875,1.0,18.75,18.75,0.0
0.25,1.0,25.0,25.0,0.0
0.3125,1.0,31.25,31.25,0.0
0.375,1.0,37.5,37.5,0.0
0.4375,1.0,43.75,43.75,0.0
0.5,1.0,50.0,50.0,0.0
0.5625,1.0,56.25,56.25,0.0
0.625,1.0,62.5,62.5,0.0
0.6875,1.0,68.75,68.75,0.0
0.75,1.0,75.0,75.0,0.0
0.8125,1.0,81.25,81.25,0.0
0.875,1.0,87.5,87.5,0.0
0.9375,1.0,93.75,93.75,0.0
1.0,1.0,100.0,100.0,0.0
